City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
584,Abakaliki,NG,76.3,scattered clouds,6.32,8.12,Grande Vitesse Apartments and Hotels
586,Santo Tomas,PH,80.85,broken clouds,14.11,121.14,Microtel by Wyndham Batangas
587,Excelsior Springs,US,82.94,clear sky,39.34,-94.23,The Elms Hotel & Spa
590,Bandar,ID,74.23,overcast clouds,2.05,99.75,
591,Acarau,BR,85.5,few clouds,-2.89,-40.12,castelo pizzaria
595,Ambilobe,MG,70.48,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
596,Sibu,MY,75.51,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
597,Senanga,ZM,69.08,clear sky,-16.12,23.27,Zango lodge
599,Mattawa,US,89.56,clear sky,46.74,-119.9,Sun & Sand Mobile Home Park
600,Tamsweg,AT,73.76,overcast clouds,47.13,13.81,Gasthaus Gruber
602,Kailua,US,82.38,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
607,Karachi,PK,82.22,smoke,24.91,67.08,Ali's Montessori School
608,Sainte-Thecle,CA,84.79,scattered clouds,46.82,-72.5,Camping Lac et Forêt
610,Koungou,YT,74.91,clear sky,-12.73,45.2,Villa Netibor
611,Makasar,ID,78.85,few clouds,-5.14,119.42,Aryaduta Makassar
612,La Ronge,CA,71.85,scattered clouds,55.1,-105.28,Northland Motor Hotel
613,Birjand,IR,79.27,clear sky,32.87,59.22,Birjand Tourist Hotel
615,Novikovo,RU,66.63,overcast clouds,51.15,37.89,
617,Turiacu,BR,78.53,overcast clouds,-1.66,-45.37,Pousada Borges
618,Luwuk,ID,76.12,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
619,Meulaboh,ID,74.25,light rain,4.14,96.13,Kost Pria
621,Zayukovo,RU,66.42,overcast clouds,43.62,43.33,
624,Kroya,ID,76.05,overcast clouds,-7.63,109.25,RUSTANTO Fam
625,Keningau,MY,73.85,overcast clouds,5.34,116.16,Sabindo Hotel
626,Kendari,ID,72.64,few clouds,-3.94,122.5,Hotel Wixel
